,filename,start_time,end_time,edge,meterID,processing_time,average_power_consumption,missing_data,raw_volume,lines_of_code,tool_changes,travels_to_zero_point_in_rapid_traverse,axes_rotation,weighted_rotational_speed,weighted_tool_diameter,weighted_cutting_length,weighted_number_of_cutting_edges,weighted_cutting_speed,weighted_feed_per_tooth,weighted_feed_rate
106,88237.013.004-2SP-Delfine1.h,1656311670,1656312380,1237,2,710,2502.7549857549857,4.0,13665960.0,25848,4,19,10,9879.237951469107,8.020886247483352,30.049636053894996,3.9970574570233857,248.49039801765525,0.10000987300603995,3937.335982341106
107,7393-03-04-08-2-DVF-Delfine.h,1656319780,1656320200,1237,2,420,3543.07729468599,3.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
108,7393-03-04-08-2-DVF-Delfine.h,1656320280,1656320700,1237,2,420,3434.864285714286,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
109,7393-03-04-08-2-DVF-Delfine.h,1656320750,1656321160,1237,2,410,3506.082926829268,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
110,7393-03-04-08-2-DVF-Delfine.h,1656321250,1656321670,1237,2,420,3497.2716346153848,2.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
111,7393-03-04-08-2-DVF-Delfine.h,1656321980,1656322400,1237,2,420,3641.9285714285716,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
112,7393-03-04-08-2-DVF-Delfine.h,1656322480,1656322900,1237,2,420,3380.2631578947367,1.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
113,7393-03-04-08-2-DVF-Delfine.h,1656323050,1656323460,1237,2,410,3322.8634146341465,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
114,7393-03-04-08-2-DVF-Delfine.h,1656323560,1656323990,1237,2,430,3656.67523364486,1.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
115,7393-03-04-08-2-DVF-Delfine.h,1656324090,1656324510,1237,2,420,3596.1763285024153,3.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
116,7393-03-04-08-2-DVF-Delfine.h,1656326160,1656326580,1237,2,420,3750.6595238095238,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
117,7393-03-04-08-2-DVF-Delfine.h,1656326640,1656327070,1237,2,430,3415.3697674418604,0.0,13665960.0,397,2,63,32,2774.045772106019,4.608620689655172,26.724137931034484,2.0,40.0,0.023275862068965515,128.3919093572643
